"T, C","E, mV","t, s","t, m"
92,64.8,0,0
90,62.9,118,1.96666666666667
88,61.1,217,3.61666666666667
86,59.1,326,5.43333333333333
84,57.3,437,7.28333333333333
82,55.3,549,9.15
80,53.3,669,11.15
78,51.5,782,13.0333333333333
76,49.6,912,15.2
74,47.7,1051,17.5166666666667
72,45.8,1206,20.1
70,44.9,1368,22.8
70,43.6,1390,23.1666666666667
69.8,43.4,1405,23.4166666666667
69.3,43.2,1420,23.6666666666667
69,43.1,1435,23.9166666666667
69,42.9,1450,24.1666666666667
68.7,42.7,1465,24.4166666666667
68.2,42.6,1480,24.6666666666667
68.3,42.5,1495,24.9166666666667
68,42.4,1510,25.1666666666667
68,42.4,1525,25.4166666666667
68,42.4,1540,25.6666666666667
67.8,42.5,1555,25.9166666666667
68,42.4,1570,26.1666666666667
67.8,42.5,1585,26.4166666666667
67.8,42.4,1600,26.6666666666667
67.8,42.5,1630,27.1666666666667
67.8,42.1,1645,27.4166666666667
67.8,41.9,1660,27.6666666666667
67.8,41.7,1675,27.9166666666667
67.6,41.5,1690,28.1666666666667
67,41.4,1705,28.4166666666667
67,41.1,1720,28.6666666666667
67,40.9,1735,28.9166666666667
66.9,40.8,1750,29.1666666666667
66.9,40.6,1765,29.4166666666667
66.4,40.4,1780,29.6666666666667
66,40.2,1795,29.9166666666667
66,40,1810,30.1666666666667
65.8,39.8,1825,30.4166666666667
65.8,39.7,1840,30.6666666666667
65.6,39.5,1855,30.9166666666667
65.1,39.3,1870,31.1666666666667
65,39.2,1885,31.4166666666667
65,39,1900,31.6666666666667
64.8,38.8,1915,31.9166666666667
64.8,38.6,1930,32.1666666666667
64.4,38.5,1945,32.4166666666667
64.1,38.4,1960,32.6666666666667
64,38.2,1975,32.9166666666667
62,36.3,2157,35.95
60,34.7,2320,38.6666666666667
58,32.1,2593,43.2166666666667
56,30.1,2836,47.2666666666667
54,28.3,3091,51.5166666666667
52,26.2,3408,56.8
